Date,Price,Open,High,Low,Vol.,Change %
"Mar 12, 2020","9,626","11,700","11,700","9,464",10.59M,-21.80%
"Mar 11, 2020","12,310","12,124","12,606","11,970",6.55M,1.74%
"Mar 10, 2020","12,100","12,300","12,577","11,833",9.30M,0.97%
"Mar 09, 2020","11,984","13,500","13,747","11,650",9.19M,-15.01%
"Mar 06, 2020","14,100","12,100","14,800","11,366",21.08M,12.80%
"Mar 05, 2020","12,500","13,599","13,599","12,410",5.31M,-5.71%
"Mar 04, 2020","13,257","13,521","13,699","13,156",5.70M,1.02%
"Mar 03, 2020","13,123","13,269","13,614","12,851",6.14M,2.68%
"Mar 02, 2020","12,780","12,780","13,296","12,693",6.62M,2.53%
"Feb 28, 2020","12,465","13,600","13,839","12,346",7.99M,-11.90%
"Feb 27, 2020","14,149","14,600","14,898","13,922",4.85M,-1.74%
"Feb 26, 2020","14,400","14,557","14,795","14,131",6.97M,-4.76%
"Feb 25, 2020","15,120","15,020","15,591","14,899",3.98M,0.75%
"Feb 24, 2020","15,008","16,000","16,372","14,945",6.47M,-8.34%
"Feb 21, 2020","16,373","16,400","16,801","15,662",6.11M,-0.77%
"Feb 20, 2020","16,500","17,300","17,489","16,469",4.71M,-3.45%
"Feb 19, 2020","17,090","17,296","17,750","16,800",6.60M,4.46%
"Feb 18, 2020","16,361","16,601","16,880","16,120",3.75M,-2.36%
"Feb 17, 2020","16,757","16,375","16,877","16,362",2.68M,1.84%
"Feb 14, 2020","16,455","16,000","16,715","15,943",4.21M,3.21%
"Feb 13, 2020","15,943","15,151","16,190","15,151",5.10M,5.34%
"Feb 12, 2020","15,135","14,901","15,420","14,841",4.46M,0.53%
"Feb 11, 2020","15,055","14,700","15,115","14,697",3.14M,1.72%
"Feb 10, 2020","14,800","14,580","15,034","14,508",3.06M,0.85%
"Feb 07, 2020","14,675","14,201","15,006","14,201",4.56M,1.13%
"Feb 06, 2020","14,511","15,250","15,250","13,535",7.22M,-3.42%
"Feb 05, 2020","15,025","15,300","15,300","14,790",3.92M,-0.74%
"Feb 04, 2020","15,137","14,390","15,366","14,215",4.26M,6.98%
"Feb 03, 2020","14,150","13,800","14,233","13,712",2.41M,0.00%
"Jan 31, 2020","14,150","14,600","14,661","14,030",4.53M,-1.97%
"Jan 30, 2020","14,434","14,100","14,517","13,800",3.28M,3.82%
"Jan 29, 2020","13,903","13,730","14,737","13,523",5.31M,3.26%
"Jan 28, 2020","13,464","13,062","13,674","13,061",4.82M,3.03%
"Jan 27, 2020","13,068","13,305","13,746","13,025",6.17M,-3.56%
"Jan 24, 2020","13,550","13,606","14,279","13,547",3.70M,-3.16%
"Jan 23, 2020","13,992","14,410","14,628","13,901",4.77M,-3.79%
"Jan 22, 2020","14,543","14,605","15,200","14,533",3.80M,0.55%
"Jan 21, 2020","14,463","15,860","15,940","14,463",6.20M,-8.79%
"Jan 20, 2020","15,857","15,555","15,964","15,548",3.25M,2.56%
"Jan 17, 2020","15,461","15,001","15,500","14,921",5.46M,3.11%
"Jan 16, 2020","14,994","14,700","15,224","14,542",5.92M,3.11%
"Jan 15, 2020","14,542","14,500","14,692","14,470",3.01M,0.45%
"Jan 14, 2020","14,477","14,540","14,548","14,298",3.42M,-1.86%
"Jan 13, 2020","14,752","14,976","14,999","14,626",2.72M,-1.09%
"Jan 10, 2020","14,914","15,108","15,200","14,899",3.84M,-0.78%
"Jan 09, 2020","15,031","15,235","15,235","14,816",5.77M,-1.69%
"Jan 08, 2020","15,290","14,775","15,465","14,468",6.24M,5.45%
"Jan 07, 2020","14,500","14,688","14,688","13,940",3.94M,-0.82%
"Jan 06, 2020","14,620","14,985","15,045","14,574",2.61M,-1.50%
"Jan 03, 2020","14,843","14,700","14,884","14,360",3.19M,3.58%
"Jan 02, 2020","14,330","14,525","14,764","14,325",2.01M,-0.15%
"Highest: 29,777","Lowest: 4,476","Difference: 25,301","Average: 16,018",Change %: 91,,
